客户描述记录,用途,其他字段
优质醋酸长丝交织法国高品质亚麻纱线，特殊工艺织造；特殊的提花风格，结合独特竹节肌理，仿若大地图腾；亚麻的原始美感，带来自然气息与质朴韵味，质感出众；卓越的吸湿透气性，告别闷热与黏腻，始终处于清爽的状态。,"西装,套装","('YG20-23878', '醋酸75% 亚麻25%', '148CM', '160GSM', 65.0, nan, '醋亚麻变斜', '若芷麻™', '麻调')"
本材料由醋酸70%和聚酯30%构成，适合制作西装和套装。,"西装,套装","('YG20-23880', '醋酸70% 聚酯30%', '148CM', '200GSM', 53.0, nan, '醋酸牙签条', '若芷麻™', '麻调')"
光泽柔和，沉稳内敛，仿若寂静海岸线的上的月光浅滩；；隐约斜纹麻感肌理，仿若随性而作的笔触，充满自由气息；紧致的凹凸砂感，与沙滩岩砾进行一场交融和碰撞；独特的坚实感，挺括有型，具备出色的耐用性，无惧场合。,"西装,套装","('YG20-23881', '醋酸60% 聚酯40%', '148CM', '280GSM', 56.0, nan, '醋酸粗斜麻', '若芷麻™', '麻调')"
本材料由醋酸65%和聚酯35%构成，适合制作西装和套装。,"西装,套装","('YG20-25059', '醋酸65% 聚酯35%', '148CM', '205GSM', 46.5, nan, '醋酸变化牛津', '若芷麻™', '麻调')"
本材料由醋酸55%和聚酯45%构成，适合制作西装和套装。,"西装,套装","('YG20-25065', '醋酸55% 聚酯45%', '148CM', '260GSM', 59.5, nan, '醋酸粗纺小香风', '若芷麻™', '麻调')"
本材料由醋酸51%、聚酯47%和氨纶2%构成，适合制作西装和套装。,"西装,套装","('YG-D11086', '醋酸51% 聚酯47% 氨纶2%', '135CM', '300GSM', 65.0, nan, '醋酸珍珠麻', '若芷麻™', '麻调')"
竹节错落，宛如大自然巧手精绘，亦如随风舞动的竹林；布面整洁明亮不粗糙，完整体现醋酸长丝的挺括和悬垂；轻薄透气，贴身干爽舒适，仿若置身于清新竹海；在风格的塑造上拥有无限可能，展现出随性而优雅的气质。,外套,"('A1063', '醋酸100%', '140CM', '185GSM', 62.5, nan, '2/2斜麻型醋酸', '若芷麻™', '麻调')"
用醋酸的材料表现出麻的质感，同时又具有偶欧根纱面料的通透感觉，可以在闷热的夏季为穿着者提供干爽舒适的穿着体验。,外套,"('A1071', '醋酸70% 聚酯30%', '148CM', '75GSM', 38.0, nan, '曲丝醋竹节', '若芷麻™', '麻调')"
细腻的光泽如同清晨湖面上的微光，散发低调而奢华的韵味；如同岩纹的拉丝肌理，巧妙融合了醋酸的光泽与麻的天然质感；手感柔软顺滑，仿佛被温柔的微风轻拂，带来舒适的体验；醋酸麻竹节，融合了自然与时尚、舒适与个性的生活方式。,"外套,连衣裙","('A1072', '醋酸100%', '150CM', '120GSM', 50.0, nan, '醋酸竹节薄斜', '若芷麻™', '麻调')"
本材料由50%醋酸和50%聚酯构成，适合制作罩衫。,罩衫,"('A9022', '50%醋酸50%聚酯', '130CM', '160GSM', 48.5, nan, '醋涤麻感网布', '若芷麻™', '麻调')"
本材料由莱赛尔72%和亚麻28%构成，适合制作外套和裤装。,"外套,裤装","('A1171', '莱赛尔72% 亚麻28%', '150CM', '200GSM', 37.0, nan, '天丝麻2/2粗斜', '若芷麻™', '麻调')"
本材料由莱赛尔72%和亚麻28%构成，适合制作外套和裤装。,"外套,裤装","('A1172', '莱赛尔72% 亚麻28%', '148CM', '180GSM', 37.0, nan, '180G天丝麻平纹', '若芷麻™', '麻调')"
本材料由人丝44%、兰精天丝25%、醋酸20%和亚麻11%构成，适合制作外套和裤装。,"外套,裤装","('A1113', '人丝44% 兰精天丝25% 醋酸20% 亚麻11%', '145CM', '175GSM', 49.0, nan, '人丝醋天麻闪光绫', '若芷麻™', '麻调')"
正宗伊士曼醋酸长丝交织双组份机械弹力纤维，经典斜纹；平整无瑕的质感，反射细腻而柔和的光泽，简约奢华；抗皱优良，手工熨烫，能快速恢复平整，始终保持整洁挺括的外观；完美满足城市通勤的需求，也能演绎户外休闲风格，时尚而多元。,"风衣,外套,夹克","('YG20-25060', '醋酸60% 聚酯40%', '132CM', '260GSM', 56.0, nan, '醋酸t400斜纹', '赛木帛™', '棉调')"
采用正宗奥地利兰精天丝长丝，交织锦纶弹力包覆丝，用料高端；采用特殊的开纤砂洗处理工艺，展现细密霜感，犹如薄雾轻尘；自然而富有韵律的褶皱效果，增添了丰富的层次感与立体感；轻松营造出简约现代的户外休闲风格，悠闲时光尽现独特风采。,"风衣,外套,夹克","('A1135', '兰精天长丝58% 锦纶36% 氨纶6%', '130CM', '135GSM', 57.5, nan, '天长丝锦弹绉', '赛木帛™', '棉调')"
醋酸长丝编织柔软锦纶和弹性氨纶，带来丝滑柔顺体验；迷人光泽，在阳光下闪烁着柔和的光芒，增添低调奢华感；细腻柔软，就像被绵软云朵温柔包裹，细腻且亲肤；完美贴合身体，毫无束缚之感，带来自由自在的穿着体验；舒适、美观与实用集于一身，各类款式都能完美演绎。,裤装,"('A20018', '醋酸49% 涤纶23% 锦纶24%氨纶 4%', '150CM', '230GSM', nan, 129.5, '针织醋酸牙签条', '万向柔™', '舒适针织调')"
本材料由兰精天丝75%、醋酸18%和氨纶7%构成，适合制作T恤和打底衫。,"T恤,打底衫","('A20031', '兰精天丝75%醋酸18%氨纶7%', '155CM', '170GSM', nan, 119.0, '弹力罗纹', '万向柔™', '舒适针织调')"
本材料由兰精天丝83%和澳洲羊毛17%构成，适合制作T恤和打底衫。,"T恤,打底衫","('A20032', '兰精天丝83%澳洲羊毛17%', '165CM', '140GSM', nan, 119.0, '双面罗纹', '万向柔™', '舒适针织调')"
本材料由兰精天丝65%、醋酸28%和氨纶7%构成，适合制作T恤和打底衫。,"T恤,打底衫","('A20033', '兰精天丝65%醋酸28%氨纶7%', '155CM', '210GSM', nan, 119.0, '2*2罗纹天丝醋酸弹力', '万向柔™', '舒适针织调')"
本材料由兰精天丝71%、醋酸17%、氨纶8%和桑蚕丝4%构成，适合制作T恤和打底衫。,"T恤,打底衫","('A20035', '兰精天丝71%醋酸17%氨纶8%桑蚕丝4%', '155CM', '170GSM', nan, 151.0, '1*1弹力双面罗纹', '万向柔™', '舒适针织调')"
本材料由天丝75%、醋酸18%和氨纶7%构成，适合制作T恤和打底衫。,"T恤,打底衫","('A20036', '天丝75%醋酸18%氨纶7%', '155CM', '220GSM', nan, 119.0, '4*2弹力罗纹', '万向柔™', '舒适针织调')"
本材料由天丝75%、醋酸20%和氨纶5%构成，适合制作T恤和打底衫。,"T恤,打底衫","('A20037', '天丝75%醋酸20%氨纶5%', '150CM', '150GSM', nan, 119.0, '1*1弹力罗纹', '万向柔™', '舒适针织调')"
本材料由兰精天丝79%、澳洲羊毛18%和氨纶3%构成，适合制作T恤和打底衫。,"T恤,打底衫","('A20038', '兰精天丝79%澳洲羊毛18%氨纶3%', '150CM', '160GSM', nan, 119.0, '天丝羊毛', '万向柔™', '舒适针织调')"
本材料由兰精莫代尔79%、羊毛14%、羊绒4%和氨纶3%构成，适合制作T恤和打底衫。,"T恤,打底衫","('A20041', '兰精莫代尔79%羊毛14%羊绒4%氨纶3%', '150CM', '210GSM', nan, 162.0, '莫代尔羊毛羊绒', '万向柔™', '舒适针织调')"
本材料由兰精天丝75%、澳洲羊毛18%和氨纶7%构成，适合制作T恤和打底衫。,"T恤,打底衫","('A20042', '兰精天丝75%澳洲羊毛18%氨纶7%', '150CM', '220GSM', nan, 119.0, '天丝羊毛', '万向柔™', '舒适针织调')"
